"Academic Yr","Year Term","Semester","Ungrad Grad","Entry Status","College/School","Academic Division","Academic Department","Major Short Nm","Student Headcount",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","History of Art","History of Art","42",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Italian Studies","Italian Studies","18",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Jewish Studies Program","Jewish Studies","7",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Medieval Studies Program","Medieval Studies","19",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Middle Eastern Lang & Cultures","Near Eastern Studies","25",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Music","Music","52",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Near Eastern Religions GG","Near Eastern Religions","3",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Performance Studies Grad Grp","Performance Studies","23",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Philosophy","Philosophy","41",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Rhetoric","Rhetoric","41",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Romance Lang & Lit Grad Pgm","Romance Lang & Lit","14",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Scandinavian","Scandinavian Lang & Lit","9",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Slavic Languages & Literatures","Slavic Lang & Lit","21",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","South & SE Asian Studies","South & SE Asian Studies","26",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Spanish & Portuguese","Hispanic Lang & Lit","37",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Biological Sciences Div","Biophysics Grad Grp","Biophysics","44",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Biological Sciences Div","Endocrinology Grad Grp","Endocrinology","11",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Biological Sciences Div","Integrative Biology","Integrative Biology","105",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Biological Sciences Div","Molecular & Cell Biology","Molecular & Cell Biology","234",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Biological Sciences Div","Neuroscience","Neuroscience","57",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Math & Phys Sciences Div","Astronomy","Astrophysics","25",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Math & Phys Sciences Div","Earth & Planetary Science","Earth & Planetary Science","52",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Math & Phys Sciences Div","Logic and Method of Science GG","Logic/Methodology of Science","16",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Math & Phys Sciences Div","Mathematics","Applied Mathematics","19",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Math & Phys Sciences Div","Mathematics","Mathematics","153",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Math & Phys Sciences Div","Physics","Physics","252",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Social Sciences Division","African American Studies","African American Studies","31",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Social Sciences Division","Anthropology","Anthropology","77",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Social Sciences Division","Anthropology","Medical Anthropology","16",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Social Sciences Division","Asian Studies Grad Grp","Asian Studies","11",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Social Sciences Division","Demography","Demography","11",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Social Sciences Division","Economics","Economics","132",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Social Sciences Division","Ethnic Studies","Ethnic Studies","40",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Social Sciences Division","Folklore Grad Grp","Folklore","6",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Social Sciences Division","Geography","Geography","44",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Social Sciences Division","Global Studies Grad Grp","International & Area Stds","4",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Social Sciences Division","History","History","155",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Social Sciences Division","Latin American Studies GG","Latin American Studies","7",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Social Sciences Division","Linguistics","Linguistics","44",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Social Sciences Division","Political Science","Political Science","119",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Social Sciences Division","Psychology","Psychology","97",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Social Sciences Division","Sociology","Sociology","117",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Social Sciences Division","Sociology and Demography GG","Sociology & Demography","6",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Goldman School Public Policy","Goldman School Public Policy","Development Practice Grad Grp","Development Practice","52",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Goldman School Public Policy","Goldman School Public Policy","Public Policy","Public Policy","186",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Grad School of Journalism","Grad School of Journalism","Journalism","Journalism","107",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Graduate Division","Graduate Division","Interdisciplinary Doctoral Pgm","Grad Div Individual Major","2",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Haas School of Business","Haas School of Business","Business","Berkeley MBA for Executives","124",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Haas School of Business","Haas School of Business","Business","Business Administration","578",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Haas School of Business","Haas School of Business","Business","Evening & Weekend MBA","764",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Haas School of Business","Haas School of Business","Business","Financial Engineering","67",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Optometry & Vision Science","Optometry & Vision Science","Optometry","Optometric Residency Cert","16",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Optometry & Vision Science","Optometry & Vision Science","Optometry","Optometry","251",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Optometry & Vision Science","Optometry & Vision Science","Vision Science Grad Grp","Vision Science","36",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Rausser Clg Natural Resources","Rausser Clg Natural Resources","Ag & Resource Econ & Pol","Ag & Resource Economics","74",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Rausser Clg Natural Resources","Rausser Clg Natural Resources","Comparative Biochem Grad Grp","Comparative Biochemistry","20",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Rausser Clg Natural Resources","Rausser Clg Natural Resources","Energy & Resources Grad Grp","Energy & Resources","65",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Rausser Clg Natural Resources","Rausser Clg Natural Resources","Env Sci, Policy, & Mgmt","Env Sci, Policy, & Mgmt","155",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Rausser Clg Natural Resources","Rausser Clg Natural Resources","Env Sci, Policy, & Mgmt","Forestry","7",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Rausser Clg Natural Resources","Rausser Clg Natural Resources","Metabolic Biology Grad Grp","Metabolic Biology","3",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Rausser Clg Natural Resources","Rausser Clg Natural Resources","Metabolic Biology Grad Grp","Molecular & Biochem Nutrition","19",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Rausser Clg Natural Resources","Rausser Clg Natural Resources","Microbiology Grad Grp","Microbiology","51",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Rausser Clg Natural Resources","Rausser Clg Natural Resources","Molecular Toxicology Grad Grp","Molecular Toxicology","5",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Rausser Clg Natural Resources","Rausser Clg Natural Resources","Plant & Microbial Biology","Plant Biology","40",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Rausser Clg Natural Resources","Rausser Clg Natural Resources","Rangeland & Wildlife Mgmt GG","Rangeland & Wildlife Mgmt","4",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","School of Information","School of Information","Information","Info & Data Science-MIDS","115",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","School of Information","School of Information","Information","Info Mgmt & Systems","119",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","School of Law","School of Law","JSP Graduate Program","Jurisprudence & Social Policy","44",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","School of Law","School of Law","Law","Doctor of Science of Law (JSD)","22",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","School of Law","School of Law","Law","Law (JD)","886",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","School of Law","School of Law","Law","Master of Laws (LLM)","182",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","School of Public Health","School of Public Health","Biostatistics Grad Grp","Biostatistics","39",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","School of Public Health","School of Public Health","Environmental Health Sci GG","Environ Health Sciences","33",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","School of Public Health","School of Public Health","Epidemiology Grad Grp","Epidemiology","33",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","School of Public Health","School of Public Health","Health & Medical Sci Grad Grp","Health & Medical Sciences","48",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","School of Public Health","School of Public Health","Health Policy GG","Hlth Servs & Pol Analysis","22",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","School of Public Health","School of Public Health","Infectious Diseases & Immun GG","Infec Diseases & Immunity","15",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","School of Public Health","School of Public Health","Public Health","On-Campus/Online Prfsnl MPH","127",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","School of Public Health","School of Public Health","Public Health","Public Health","295",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","School of Social Welfare","School of Social Welfare","Social Welfare","Social Welfare","210",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Chemistry","Clg of Chemistry","Chem & Biomolecular Eng","Chem Eng/MSE Joint Major","12",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Chemistry","Clg of Chemistry","Chem & Biomolecular Eng","Chem Eng/NE Joint Major","2",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Chemistry","Clg of Chemistry","Chem & Biomolecular Eng","Chemical Engineering","343",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Chemistry","Clg of Chemistry","Chemistry","Chemical Biology","217",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Chemistry","Clg of Chemistry","Chemistry","Chemistry","144",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Comp Data Sci & Soc","Clg of Comp Data Sci & Soc","Elec Eng & Computer Sci - CDSS","CDSS Computer Science","692",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Comp Data Sci & Soc","Clg of Comp Data Sci & Soc","Statistics","Statistics","241",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Bioengineering","Bioengineering","315",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Civil & Environmental Eng","Civil Engineering","259",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Electrical Eng & Computer Sci","Electrical Eng & Comp Sci","1059",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Engineering Joint Programs","BioE/MSE Joint Major","11",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Engineering Joint Programs","EECS/MSE Joint Major","7",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Engineering Joint Programs","EECS/NE Joint Major","3",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Engineering Joint Programs","ME/NE Joint Major","4",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Engineering Joint Programs","MSE/ME Joint Major","12",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Engineering Joint Programs","MSE/NE Joint Major","1",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Engineering Science","Energy Engineering","37",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Engineering Science","Eng Math & Statistics","20",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Engineering Science","Engineering Physics","61",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Engineering Science","Engineering Undeclared","84",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Engineering Science","Environmental Eng Science","23",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Industrial Eng & Ops Research","Industrial Eng & Ops Rsch","115",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Materials Science & Eng","Materials Science & Eng","96",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Mechanical Engineering","Mechanical Engineering","499",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Engineering","Clg of Engineering","Nuclear Engineering","Nuclear Engineering","55",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Environmental Design","Clg of Environmental Design","Architecture","Architecture","254",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Environmental Design","Clg of Environmental Design","City & Regional Planning","Urban Studies","67",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Environmental Design","Clg of Environmental Design","Inst of Urban & Reg Dev Pgms","Sustainable Environ Dsgn","35",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Environmental Design","Clg of Environmental Design","Landscape Arch & Env Plan","Landscape Architecture","24",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Environmental Design","Clg of Environmental Design","Other Env Design Programs","CED Individual Major","2",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Administered Programs","L&S Chemistry","L&S Chemistry","10",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Administered Programs","L&S Envir Econ & Policy","L&S Environ Econ & Policy","20",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Administered Programs","L&S Legal Studies","L&S Legal Studies","124",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Administered Programs","L&S Ops Rsch & Mgmt Sci","L&S Ops Research & Mgmt Sci","12",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Administered Programs","L&S Public Health","L&S Public Health","381",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Administered Programs","L&S Social Welfare","L&S Social Welfare","201",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Ancient Greek & Roman Studies","Classical Civilizations","18",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Ancient Greek & Roman Studies","Classical Languages","4",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Art Practice","Art","42",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Comparative Literature","Comparative Literature","18",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","East Asian Lang & Culture","Chinese Language","10",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","East Asian Lang & Culture","Japanese Language","16",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","English","English","216",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Film and Media","Film","44",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","French","French","44",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","German","Dutch Studies","2",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","German","German","18",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","History of Art","History of Art","33",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Italian Studies","Italian Studies","7",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Middle Eastern Lang & Cultures","Ancnt Egypt/NE Art & Archae","1",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Middle Eastern Lang & Cultures","Near Eastern Civilizations","1",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Middle Eastern Lang & Cultures","Near Eastern Lang & Lit","8",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Music","Music","81",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Philosophy","Philosophy","49",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Rhetoric","Rhetoric","57",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Scandinavian","Celtic Studies","1",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Slavic Languages & Literatures","Slavic Lang & Lit","6",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","South & SE Asian Studies","South & SE Asian Studies","13",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Spanish & Portuguese","Spanish-Hisp Lang/Biling Iss","14",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Spanish & Portuguese","Spanish-Iberian Lang & Lit","5",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Spanish & Portuguese","Spanish-Latin-Amer Lang & Lit","11",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Spanish & Portuguese","Spanish-Luso-Brazil Lang & Lit","2",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Spanish & Portuguese","Spanish-Spanish Lang & Lit","27",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Theater Dance & Perf Stds","Dance & Perf Studies","10",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Arts & Humanities Division","Theater Dance & Perf Stds","Theater & Perf Studies","36",""
"2014-15","2014 Fall","Fall","Undergraduate","Freshman Entrant","Clg of Letters & Science","L&S Biological Sciences Div","Integrative Biology","Integrative Biology","553",""
